words,links,capital_words,spam_word_count,is_spam
118,2,3,0,0
338,6,25,4,1
935,4,10,8,1
208,2,0,0,0
79,0,8,6,0
216,0,6,6,0
543,1,4,10,1
39,1,2,0,0
168,4,6,0,1
359,0,2,2,0
192,2,3,2,0
212,9,26,7,1
163,2,0,0,0
270,2,1,1,0
925,6,5,10,1
446,6,7,9,1
356,2,1,8,1
799,7,28,5,1
164,2,4,2,0
174,2,2,3,0
140,8,15,5,1
401,0,1,0,0
216,1,1,2,0
241,2,10,2,0
289,0,1,1,0
48,0,0,1,0
149,2,0,0,0
653,6,21,2,1
498,8,17,10,1
573,10,30,3,1
279,2,2,5,0
152,0,10,2,0
181,0,4,1,0
195,4,3,8,1
275,9,3,5,1
256,2,3,1,0
979,2,19,6,1
198,1,3,0,0
52,10,2,2,1
428,1,0,1,0
209,0,8,1,0
302,2,2,2,0
231,1,3,6,0
235,0,1,3,0
180,1,4,1,0
208,0,3,3,0
161,6,22,3,1
210,2,6,3,1
388,7,24,2,1
102,6,19,7,1
663,8,21,6,1
157,1,2,1,0
175,2,3,1,0
434,8,20,9,1
268,0,0,2,0
140,0,2,1,0
979,8,28,5,1
99,10,8,7,1
93,0,3,2,0
243,1,1,0,0
163,0,0,2,0
25,0,2,0,0
46,2,3,1,0
657,5,28,3,1
393,10,5,4,1
528,9,16,9,1
166,4,1,2,0
82,5,30,8,1
37,1,9,1,0
151,3,11,4,1
804,10,15,3,1
897,8,25,2,1
673,1,19,3,1
158,6,19,1,1
164,7,10,6,1
261,0,0,4,0
554,5,7,6,1
72,2,1,2,0
201,0,1,0,0
451,10,30,6,1
170,5,1,0,0
324,5,25,8,1
31,0,2,5,0
224,10,29,10,1
124,4,1,5,1
265,3,3,2,0
268,0,2,1,0
683,5,0,2,1
932,6,7,5,1
125,1,1,0,0
194,2,3,3,0
422,5,23,7,1
210,4,0,1,0
548,5,2,10,1
125,6,24,5,1
927,1,21,5,1
114,8,4,2,1
252,1,2,2,0
125,2,2,2,0
190,1,1,1,0
247,1,3,0,0
262,1,0,0,0
748,3,22,3,1
86,2,1,2,0
671,6,18,0,1
252,2,26,6,1
46,1,0,2,0
253,0,3,0,0
121,1,3,6,0
65,2,8,0,0
847,4,19,7,1
166,0,0,2,0
172,3,1,1,0
218,4,3,1,0
163,3,1,4,0
275,1,5,0,0
20,3,2,1,0
640,2,29,7,1
297,2,1,2,0
63,2,17,0,1
134,2,22,9,1
192,10,23,6,1
250,10,0,4,1
303,4,0,1,0
241,0,0,3,0
298,3,1,2,0
695,3,25,10,1
52,2,2,2,0
866,7,5,8,1
247,1,7,6,1
181,1,3,0,0
163,5,0,1,0
208,3,19,8,1
125,3,26,2,1
215,0,0,0,0
387,0,2,0,0
139,1,0,3,0
259,1,0,2,0
132,0,10,0,0
441,0,3,2,0
413,8,28,4,1
383,0,19,4,1
224,0,3,2,0
156,2,3,2,0
240,0,2,0,0
765,6,9,7,1
311,2,23,9,1
47,5,0,0,0
82,5,21,0,1
244,2,1,7,1
956,6,5,7,1
167,3,4,4,1
495,5,1,5,0
158,9,25,9,1
203,2,24,2,1
32,0,3,1,0
959,3,13,10,1
155,2,25,8,1
65,3,2,1,0
959,2,30,3,1
187,4,9,5,1
813,9,11,0,1
156,0,0,2,0
195,0,3,2,0
768,5,18,3,1
